"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Aquifoliaceae undiff.","Artemisia","Asteraceae undiff.","Betula","Carya","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Lycopodiaceae undiff.","Myricaceae undiff.","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"1","GS3","Cayou Lake",48.52036,-92.947242,1,-51,13,-29,9,1,11,5,15,0,1,1,67,0,1,13,1,0,3,0,1,1,2,0,4,36,38,31,53,0,2,7,23,0,9,1,0,5,0,0,2
"2","GS3","Cayou Lake",48.52036,-92.947242,4,-42,168,10,9,1,40,5,10,0,4,2,55,1,3,17,0,0,4,0,2,0,6,0,3,27,63,21,60,1,1,13,16,0,5,0,1,1,0,0,3
"3","GS3","Cayou Lake",48.52036,-92.947242,10,-11,353,105,7,6,42,9,11,0,6,1,53,0,0,29,0,0,3,0,1,0,5,0,2,30,74,20,92,0,0,10,9,0,8,1,0,3,0,0,3
"4","GS3","Cayou Lake",48.52036,-92.947242,15,30,468,186,8,5,44,8,18,0,8,1,51,0,1,16,2,0,10,0,1,0,3,0,2,35,50,16,91,0,0,13,10,1,2,0,0,4,0,0,4
"5","GS3","Cayou Lake",48.52036,-92.947242,20,77,576,265,9,2,28,10,35,0,8,3,76,0,3,12,0,0,6,0,0,1,0,0,1,25,31,13,159,0,0,10,9,2,9,0,1,4,0,0,2
"6","GS3","Cayou Lake",48.52036,-92.947242,26,144,693,362,4,3,25,9,13,0,10,0,89,0,1,21,0,0,3,0,5,1,1,0,1,33,78,28,81,1,0,4,12,1,10,1,2,3,0,0,2
"7","GS3","Cayou Lake",48.52036,-92.947242,32,212,812,457,1,0,29,3,5,0,6,2,49,0,1,25,1,0,1,0,7,0,7,0,2,18,52,15,48,0,0,6,5,2,6,0,0,1,0,0,1
"8","GS3","Cayou Lake",48.52036,-92.947242,36,257,891,521,3,1,45,3,3,0,8,2,34,0,4,16,0,0,1,0,3,0,1,0,2,24,57,25,57,0,0,6,9,1,10,1,0,1,0,1,2
"9","GS3","Cayou Lake",48.52036,-92.947242,50,422,1159,743,10,0,50,0,5,0,4,1,42,1,7,49,0,0,1,0,11,0,1,0,4,42,101,74,105,0,0,8,11,1,6,0,0,0,0,0,0
"10","GS3","Cayou Lake",48.52036,-92.947242,60,551,1342,902,4,0,28,0,4,0,5,0,57,0,1,27,1,0,3,1,3,0,2,0,2,34,64,34,127,0,0,10,9,0,8,0,0,1,0,0,3
"11","GS3","Cayou Lake",48.52036,-92.947242,65,619,1427,982,6,0,52,2,2,0,8,2,54,0,4,44,0,0,2,0,6,0,8,0,7,43,105,80,109,0,2,10,13,1,7,1,0,2,0,0,2
"12","GS3","Cayou Lake",48.52036,-92.947242,85,894,1773,1298,4,0,41,3,4,0,5,1,48,0,3,33,0,0,5,0,6,1,4,0,2,48,97,53,168,0,1,13,10,2,8,0,0,0,0,1,3
"13","GS3","Cayou Lake",48.52036,-92.947242,115,1327,2273,1774,2,1,44,10,8,0,5,5,73,1,2,49,1,0,4,0,8,1,2,0,9,53,211,64,164,0,1,4,18,4,10,0,0,4,0,0,3
"14","GS3","Cayou Lake",48.52036,-92.947242,175,2276,3208,2716,6,2,15,0,0,0,3,0,27,0,0,9,0,0,2,0,5,3,4,0,4,20,91,92,222,0,1,5,4,1,3,1,0,3,0,0,4
"15","GS3","Cayou Lake",48.52036,-92.947242,215,2994,3798,3331,2,0,25,3,3,0,8,1,34,0,2,5,1,0,2,0,5,0,0,0,1,10,57,38,235,0,0,4,12,0,7,0,0,1,0,0,3
"16","GS3","Cayou Lake",48.52036,-92.947242,255,3742,4596,4183,1,0,38,4,1,0,3,3,58,0,3,13,0,0,0,0,6,0,7,0,7,11,49,23,253,0,0,9,9,0,10,0,0,1,0,0,3
"17","GS3","Cayou Lake",48.52036,-92.947242,275,4087,5002,4596,5,2,37,0,0,0,6,2,61,0,1,9,1,0,5,0,7,1,5,0,5,26,125,63,151,0,0,5,8,0,15,2,0,0,0,0,3
"18","GS3","Cayou Lake",48.52036,-92.947242,315,4662,5759,5214,1,1,51,1,3,0,6,1,61,0,1,5,2,0,6,0,0,1,6,0,2,5,129,38,150,0,0,17,10,4,29,1,0,3,0,0,7
"19","GS3","Cayou Lake",48.52036,-92.947242,355,5250,6462,5834,0,0,52,3,4,0,11,3,61,0,4,23,0,1,7,0,0,0,1,0,1,4,51,12,187,0,0,11,9,3,27,1,0,5,0,0,3
"20","GS3","Cayou Lake",48.52036,-92.947242,375,5551,6812,6145,0,0,57,3,7,0,8,2,62,0,2,3,2,3,6,0,0,0,8,0,2,5,218,61,218,0,0,21,6,2,22,1,0,5,1,0,3
"21","GS3","Cayou Lake",48.52036,-92.947242,415,6167,7479,6765,0,0,52,6,5,0,8,1,56,0,3,15,0,0,9,0,0,0,6,0,6,4,92,80,169,0,0,19,13,3,40,0,0,1,0,0,6
"22","GS3","Cayou Lake",48.52036,-92.947242,455,6816,8142,7383,0,0,34,3,10,0,3,3,32,0,6,37,1,0,10,0,0,1,9,0,2,0,68,23,203,0,0,14,10,0,32,1,0,2,0,0,3
"23","GS3","Cayou Lake",48.52036,-92.947242,475,7151,8470,7690,0,1,42,8,21,0,13,6,27,0,3,18,0,0,9,0,0,0,7,0,2,1,91,11,62,0,2,27,17,2,63,1,0,7,0,0,11
"24","GS3","Cayou Lake",48.52036,-92.947242,495,7540,8866,8132,0,3,25,8,17,0,11,7,49,0,6,47,0,0,9,0,0,0,6,0,2,0.5,57,1,157,0,0,14,13,0,36,1,1,2,0,0,10
"25","GS3","Cayou Lake",48.52036,-92.947242,535,8401,9668,9026,4,1,29,6,14,0,9,5,26,0,0,11,0,0,6,0,1,1,5,1,2,3,107,6,96,0,0,18,15,5,7,0,0,3,0,0,2
"26","GS3","Cayou Lake",48.52036,-92.947242,575,9388,10446,9906,1,1,7,12,26,0,9,0,26,1,1,19,1,0,1,0,6,0,14,0,3,20,95,7,175,0,0,17,20,7,11,1,0,10,0,0,7
"27","GS3","Cayou Lake",48.52036,-92.947242,595,9827,10868,10344,0,1,1,1,4,0,8,0,21,1,0,4,0,0,1,0,4,1,10,0,6,39,86,0,110,0,0,1,5,6,12,0,0,1,0,0,18
"28","GS3","Cayou Lake",48.52036,-92.947242,635,10772,11666,11205,0,2,1,4,4,0,11,6,16,0,0,52,0,0,23,1,15,0,0,0,8,109,37,0,16,0,0,5,19,0,16,1,0,12,0,0,23
"29","GS3","Cayou Lake",48.52036,-92.947242,645,11074,11849,11412,2,0,3,6,4,0,16,1,23,0,6,46,0,0,23,2,17,2,0,1,5,163,25,0,8,0,0,6,28,1,11,0,0,5,0,0,17
"30","GS3","Cayou Lake",48.52036,-92.947242,655,11273,12162,11681,1,0,6,0,2,0,23,2,91,0,0,31,0,0,4,0,12,0,0,0,12,175,0,0,0,0,0,13,25,1,7,0,0,11,0,0,3
"31","GS3","Cayou Lake",48.52036,-92.947242,665,11439,12452,11910,2,0,6,3,2,0,24,1,16,0,2,26,1,0,4,0,2,0,0,0,6,47,8,0,6,0,0,20,0,0,1,1,1,22,0,0,6
"32","GS3","Cayou Lake",48.52036,-92.947242,695,11913,13224,12516,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0
"33","GS3","Cayou Lake",48.52036,-92.947242,713,12215,13659,12878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0
