"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Botrychium","Carya","Caryophyllaceae undiff.","Castanea","Ceanothus/Rhamnus","Cephalanthus","Clethra","Corylus","Cupressaceae undiff.","Dennstaedtia","Dryopteris","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Huperzia","Ilex","Iva","Juglans","Liquidambar","Lycopodiaceae undiff.","Myricaceae undiff.","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Secale","Tilia","Tsuga","Ulmus","Zea"
"1","15009","Jemima Pond",41.82961,-69.9847,0,-55,-45,-50,1,9,16,4,99,1,1,15,3,56,0,6,0,0,0,28,11,2,4,0,1,2,5,14,3,0,10,2,1,1,4,87,4,0,1,2,52,10,120,20,0,92,1,0,5,123,2,78,1,5,0,2,3,1
"2","15009","Jemima Pond",41.82961,-69.9847,8,-42,-29,-36,0,5,14,2,81,2,1,10,0,50,0,3,0,1,0,25,8,1,3,0,0,3,2,8,5,0,10,1,4,1,1,64,8,0,3,4.5,43,3,139,19,0,79,3,0,5,125,0,85,3,13,0,3,6,2
"3","15009","Jemima Pond",41.82961,-69.9847,16,-26,-4,-15,1,9,24,0,90,1,0,9,0,45,0,7,0,1,4,25,12,0,4,0,0,6,0,5,3,0,9,1,0,0,0,84,5,2,2,2,43,6,119,25,0,95,2,1,2,143,2,103,3,6,0,7,3,0
"4","15009","Jemima Pond",41.82961,-69.9847,24,-1,48,22,0,5,30,1,96,0,0,11,1,79,0,15,1,1,6,36,12,1,1,0,0,7,0,9,7,2,12,0,0,1,2,35,10,0,4,5,23,7,68,23,3,92,4,0,10,175,0,155,0,18,1,7,4,1
"5","15009","Jemima Pond",41.82961,-69.9847,32,29,106,62,0,5,57,1,49,0,1,8,0,51,0,11,0,2,4,40,10,0,2,0,0,11,0,18,5,0,21,0,2,0,0,32,18,3,0,5,13,8,62,2,1,80,2,0,15,203,2,136,0,10,1,7,4,5
"6","15009","Jemima Pond",41.82961,-69.9847,40,59,193,113,1,10,69,0,17,0,0,8,0,36,0,15,0,0,7,42,23,0,2,0,0,3,1,13,6,0,35,1,0,1,0,25,15,1,2,2.5,9,6,48,4,4,51,1,0,14,200,0,131,0,5,1,12,2,2
"7","15009","Jemima Pond",41.82961,-69.9847,48,104,292,180,0,4,56,0,13,0,1,6,0,50,0,14,0,1,3,55,11,0,2,0,0,10,0,16,6,0,18,2,0,0,0,20,17,0,1,4,5,2,50,0,1,37,1,1,4,219,1,78,0,21,0,14,2,0
"8","15009","Jemima Pond",41.82961,-69.9847,56,154,395,251,0,5,50,2,21,0,0,6,1,47,0,11,0,4,2,57,14,1,5,1,0,5,0,11,0,0,25,0,0,0,0,16,19,1,4,1.5,12,6,43,4,3,40,4,0,11,230,0,91,0,15,0,10,0,1
"9","15009","Jemima Pond",41.82961,-69.9847,64,210,484,324,0,6,37,2,8,0,0,4,0,32,0,12,0,2,4,32,16,0,4,0,0,5,0,13,3,0,15,0,1,0,0,17,14,0,6,4,15,5,48,2,1,21,1,0,12,237,0,62,1,10,0,9,3,0
"10","15009","Jemima Pond",41.82961,-69.9847,72,303,598,437,0,3,40,0,3,0,1,4,0,57,0,13,0,2,2,12,2,0,2,0,0,7,1,18,2,0,10,1,1,1,0,8,3,3,6,1,7,0,37,0,2,7,1,0,10,257,0,7,0,1,0,18,1,0
"11","15009","Jemima Pond",41.82961,-69.9847,80,418,827,615,1,9,31,2,6,0,2,1,0,55,0,39,0,0,3,13,3,0,3,0,0,3,0,18,10,0,9,0,0,0,0,17,10,0,2,3,8,3,40,0,0,9,3,0,12,251,0,3,0,0,0,9,2,0
"12","15009","Jemima Pond",41.82961,-69.9847,88,579,1024,787,0,13,32,1,2,0,2,3,0,56,0,28,0,1,3,15,5,0,2,0,1,4,0,17,2,0,6,1,1,0,0,11,10,2,3,4.5,15,4,23,0,3,4,4,0,4,252,0,2,0,0,0,11,3,1
"13","15009","Jemima Pond",41.82961,-69.9847,96,730,1223,964,0,7,18,0,2,0,3,2,0,47,0,30,0,0,0,7,1,0,3,0,0,2,0,27,5,0,4,2,0,0,0,15,11,0,3,3,6,3,36,0,2,10,2,0,8,274,0,0,0,0,0,18,3,0
"14","15009","Jemima Pond",41.82961,-69.9847,104,891,1395,1148,0,7,16,1,2,0,0,4,0,46,0,21,0,1,2,0,2,0,2,1,0,1,0,27,5,0,2,2,1,0,0,14,9,0,4,2,8,1,20,0,2,14,0,0,1,279,0,1,0,0,0,8,9,0
"15","15009","Jemima Pond",41.82961,-69.9847,112,1079,1545,1327,1,6,29,0,1,0,0,0,0,25,1,23,0,1,1,10,1,0,1,0,0,2,0,21,3,0,1,1,0,1,1,24,7,0,1,2,9,8,33,0,1,10,0,1,3,285,0,0,0,0,0,16,3,0
"16","15009","Jemima Pond",41.82961,-69.9847,120,1231,1743,1486,1,8,28,1,2,0,0,3,0,33,0,24,0,1,0,8,0,0,0,0,0,1,0,23,9,0,1,0,0,0,0,25,10,0,2,2,6,3,40,0,1,10,0,0,6,268,0,0,0,0,0,11,5,0
"17","15009","Jemima Pond",41.82961,-69.9847,128,1403,1909,1644,1,8,34,0,0,0,0,6,1,44,0,22,0,1,1,20,1,3,3,0,0,1,0,29,7,0,1,0,1,1,0,27,11,2,4,0,9,8,47,0,1,27,0,0,19,293,1,0,0,0,0,17,2,0
"18","15009","Jemima Pond",41.82961,-69.9847,136,1537,2103,1798,0,9,34,0,3,0,0,3,0,52,0,31,0,0,1,13,2,0,1,0,1,1,0,26,1,0,0,1,0,0,0,26,12,0,2,2,11,4,49,0,1,19,0,0,13,294,0,0,0,0,0,11,5,0
"19","15009","Jemima Pond",41.82961,-69.9847,144,1662,2317,1956,0,5,37,0,2,0,0,6,0,36,0,22,1,2,2,17,2,1,2,0,0,0,0,41,5,1,0,2,0,0,0,23,5,1,5,1,8,2,41,0,2,21,0,0,3,285,0,0,0,0,1,14,8,0
"20","15009","Jemima Pond",41.82961,-69.9847,152,1780,2542,2113,0,4,35,0,0,0,1,1,0,42,0,22,0,2,1,21,0,1,4,0,0,2,0,39,3,0,3,1,1,1,0,39,10,0,1,1,9,8,22,0,1,16,0,0,10,268,0,0,1,0,0,14,6,0
"21","15009","Jemima Pond",41.82961,-69.9847,168,2019,2968,2432,0,5,23,0,0,0,0,5,0,52,0,25,0,0,2,12,0,0,1,0,0,0,0,31,4,0,0,0,0,0,0,35,4,0,1,4,6,2,31,0,0,10,0,0,6,294,0,0,0,0,0,14,2,0
"22","15009","Jemima Pond",41.82961,-69.9847,184,2266,3377,2752,0,5,8,0,2,0,0,9,0,42,0,16,0,0,1,4,3,1,2,0,0,1,0,24,11,0,0,0,1,2,0,26,5,0,1,1,11,5,55,0,0,12,0,0,8,302,0,0,0,0,1,11,3,0
"23","15009","Jemima Pond",41.82961,-69.9847,200,2519,3781,3074,0,7,9,0,2,0,0,1,0,43,0,17,0,0,0,9,0,0,1,0,0,0,0,27,2,0,1,0,0,0,1,34,7,0,1,2,16,5,35,0,1,12,0,0,3,291,0,1,0,0,0,14,2,0
