"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Araliaceae","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Castanea","Ceanothus/Rhamnus","Celtis","Cephalanthus","Cladium","Clethra","Cornus","Corylus","Cupressaceae undiff.","Dryopteris","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Gentiana","Gymnocarpium","Humulus/Cannabis","Huperzia","Hypericum","Ilex","Iva","Juglans","Lamiaceae undiff.","Linnaea","Liquidambar","Lycopodiaceae undiff.","Moraceae undiff.","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sapindaceae undiff.","Secale","Thalictrum","Tilia","Trifolium","Tsuga","Ulmus","Urticaceae"
"1","14997","Round Pond",41.97078,-70.010335,1,-55,-42,-47,1,6,2,18,0,0,5,41,5,1,0,0,0,0,0,0,3,2,2,2,0,5,0,1,0,0,0,0,1,0,1,0,0,1,1,0,27,1,2,2,5,18,5,383,38,0,7,0,1,138,0,0,0,6,0,0,0,0,0,0,7,3,0
"2","14997","Round Pond",41.97078,-70.010335,2,-52,-36,-42,4,5,2,17,0,0,0,28,0,1,0,0,0,0,1,0,2,2,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,3,5,0,3,2,313,24,0,4,0,2,103,0,0,1,6,1,0,0,0,0,0,6,1,1
"3","14997","Round Pond",41.97078,-70.010335,4,-50,-21,-31,1,6,1,23,0,1,2,38,6,0,0,0,0,0,0,0,4,1,2,3,0,5,5,0,0,0,0,0,0,0,2,0,0,0,1,0,34,0,1,2,3,12,1,288,34,0,10,0,4,99,0,0,0,20,0,0,1,0,0,0,7,0,0
"4","14997","Round Pond",41.97078,-70.010335,6,-38,5,-8,3,7,0,17,0,1,2,53,6,3,0,0,0,0,1,0,0,6,2,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,2,0,4,17,0,336,21,0,14,0,7,102,0,1,0,25,0,0,1,0,0,0,17,4,0
"5","14997","Round Pond",41.97078,-70.010335,8,-26,50,26,4,4,0,24,0,0,0,32,4,0,0,1,0,0,0,0,5,0,0,2,0,5,1,0,0,1,0,0,1,0,0,0,0,1,4,0,20,0,3,2,8,1,3,304,21,0,12,0,2,77,0,1,0,12,1,0,2,0,0,0,12,2,0
"6","14997","Round Pond",41.97078,-70.010335,10,-16,97,61,2,8,0,5,0,1,0,41,4,3,0,0,1,0,0,0,3,2,1,1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,35,0,4,3,2,7,3,268,26,1,3,0,7,64,0,0,0,9,0,0,2,0,0,1,14,5,0
"7","14997","Round Pond",41.97078,-70.010335,12,43,192,116,1,6,0,4,0,1,0,45,7,3,0,0,0,0,0,0,7,6,2,0,0,11,1,0,2,0,0,0,1,0,1,0,0,0,0,0,37,1,1,4,5,15,4,318,49,0,2,1,10,66,0,0,0,5,1,0,0,0,0,0,20,3,0
"8","14997","Round Pond",41.97078,-70.010335,14,70,319,174,3,1,0,6,0,0,1,53,5,1,0,0,0,0,2,0,3,4,0,4,0,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,47,0,0,1,8,25,7,333,30,1,5,0,11,80,0,0,0,12,0,0,0,0,0,0,11,2,0
"9","14997","Round Pond",41.97078,-70.010335,16,108,403,231,2,6,0,6,0,1,1,43,2,1,0,0,0,0,1,0,3,0,1,2,0,9,1,0,0,0,0,0,1,0,2,0,0,0,0,0,48,1,2,6,2,6,5,332,30,3,2,1,7,88,0,0,0,1,0,0,0,0,0,0,32,2,0
"10","14997","Round Pond",41.97078,-70.010335,18,139,461,289,7,5,0,2,0,1,4,32,3,3,0,0,0,0,0,0,5,4,3,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,2,8,3,9,3,287,32,2,2,0,14,105,0,0,1,2,0,0,0,0,1,0,12,2,0
"11","14997","Round Pond",41.97078,-70.010335,20,159,557,342,2,7,0,0,0,0,2,36,4,3,0,0,0,0,2,0,2,5,2,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,2,3,3,14,3,321,30,0,2,0,9,104,0,0,2,1,0,0,0,0,0,0,16,1,0
"12","14997","Round Pond",41.97078,-70.010335,22,214,590,397,1,7,0,0,0,0,1,26,3,2,0,1,0,0,0,0,4,5,1,0,0,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,3,1,2,118,2,323,23,1,4,0,9,71,0,0,0,0,0,0,0,1,0,0,18,2,0
"13","14997","Round Pond",41.97078,-70.010335,24,245,642,454,6,4,0,2,0,0,0,27,7,1,0,0,0,0,0,0,3,5,3,0,1,11,3,0,0,0,0,0,0,1,1,0,0,2,0,0,33,2,0,3,5,3,0,378,20,1,0,0,16,70,0,0,1,2,0,0,0,0,1,0,10,1,0
"14","14997","Round Pond",41.97078,-70.010335,26,285,696,505,2,9,0,2,0,0,2,30,5,2,0,0,0,0,0,0,5,5,1,1,0,11,4,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,2,7,15,1,294,10,0,0,0,7,83,0,0,1,0,0,0,0,1,0,0,7,3,1
"15","14997","Round Pond",41.97078,-70.010335,28,325,743,555,7,11,1,2,0,1,1,31,11,5,0,0,0,0,0,0,7,1,2,2,0,4,3,0,0,0,1,0,0,1,0,0,0,1,0,0,28,0,1,1,2,19,0,388,15,0,3,0,7,85,0,0,0,2,0,0,0,0,0,0,19,0,0
"16","14997","Round Pond",41.97078,-70.010335,30,350,828,599,1,5,0,3,0,2,1,33,6,1,0,0,0,0,0,0,2,3,1,4,1,11,2,0,0,0,1,0,0,1,1,0,0,0,0,0,29,0,2,1,2,10,0,313,15,1,0,1,5,84,0,0,1,0,0,0,0,0,1,0,28,1,3
"17","14997","Round Pond",41.97078,-70.010335,32,392,870,643,2,4,0,2,0,0,2,37,4,1,0,0,0,0,0,0,1,0,0,1,0,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,2,2,3,8,1,328,17,0,1,0,9,82,0,0,0,0,0,0,0,0,0,0,12,4,0
"18","14997","Round Pond",41.97078,-70.010335,36,457,993,724,2,5,0,0,1,0,2,28,7,2,0,0,0,0,0,0,4,2,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28,2,6,2,1,13,0,321,23,0,1,0,6,93,0,0,0,0,0,0,0,0,0,0,21,2,0
"19","14997","Round Pond",41.97078,-70.010335,40,522,1105,808,3,1,0,4,0,1,0,44,3,0,0,0,0,0,1,0,4,3,4,2,0,15,1,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0,2,5,5,5,0,295,22,0,2,0,8,106,0,0,1,2,0,0,0,1,0,0,17,2,0
"20","14997","Round Pond",41.97078,-70.010335,44,605,1189,893,2,2,0,1,0,3,3,42,4,2,1,0,0,0,0,0,3,2,2,0,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,3,1,0,14,3,259,21,0,2,0,6,91,0,0,0,0,0,0,0,0,0,0,18,1,1
"21","14997","Round Pond",41.97078,-70.010335,48,686,1275,978,4,8,0,1,0,1,1,38,8,1,0,0,0,1,0,0,4,6,2,0,0,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,1,5,2,10,0,275,19,0,1,1,17,101,0,0,0,0,0,0,0,0,0,0,21,0,0
"22","14997","Round Pond",41.97078,-70.010335,52,768,1362,1064,1,4,0,2,0,1,4,34,7,5,0,0,0,0,1,0,2,2,2,1,0,11,5,0,0,0,0,0,1,1,0,0,0,0,0,0,42,0,0,4,2,12,2,282,5,0,0,0,10,123,1,0,0,0,0,1,0,0,0,0,21,3,0
"23","14997","Round Pond",41.97078,-70.010335,56,850,1446,1150,4,1,0,0,0,0,0,31,5,1,0,0,0,0,0,0,3,2,0,0,0,16,1,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,1,3,2,9,1,335,8,2,1,0,6,88,0,0,0,0,0,0,0,0,1,0,25,3,0
"24","14997","Round Pond",41.97078,-70.010335,60,932,1528,1240,4,1,0,1,0,0,0,47,5,1,0,0,0,0,0,0,0,0,2,4,0,19,3,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,4,1,13,2,274,7,1,1,0,3,105,0,0,0,0,0,0,0,0,0,0,30,1,0
"25","14997","Round Pond",41.97078,-70.010335,64,1005,1614,1317,5,10,0,0,0,0,0,46,4,1,0,0,0,0,1,0,1,1,1,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,4,13,1,347,18,1,6,0,5,96,0,0,0,0,0,0,0,0,0,0,14,2,0
"26","14997","Round Pond",41.97078,-70.010335,68,1073,1706,1391,2,1,0,0,0,0,2,36,6,2,0,0,0,0,1,0,0,1,1,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,27,1,6,2,1,15,2,311,35,0,1,0,2,88,0,0,1,1,0,0,0,0,0,0,18,2,0
"27","14997","Round Pond",41.97078,-70.010335,72,1139,1797,1463,6,5,0,1,0,2,0,39,6,1,0,0,0,0,2,0,1,1,1,2,1,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,34,2,4,1,0,5,1,249,5,1,1,0,3,104,0,0,0,0,0,0,0,0,0,0,25,2,0
"28","14997","Round Pond",41.97078,-70.010335,76,1203,1888,1534,1,3,1,1,0,0,1,24,11,0,0,0,0,0,0,0,0,3,1,1,0,11,1,0,0,0,0,0,2,0,0,0,1,1,0,0,33,0,1,4,1,7,1,298,18,0,0,1,3,120,0,0,0,0,0,0,0,0,0,0,19,2,0
"29","14997","Round Pond",41.97078,-70.010335,80,1265,1979,1607,6,6,0,1,1,2,0,28,12,1,0,0,0,1,1,0,6,3,1,3,0,10,2,0,0,0,1,0,0,0,2,0,0,0,0,0,32,0,0,2,1,8,1,292,15,0,4,0,2,126,0,0,0,0,1,0,0,1,0,0,18,3,0
"30","14997","Round Pond",41.97078,-70.010335,84,1338,2057,1682,3,6,1,0,0,1,0,41,5,0,0,0,0,0,2,0,2,5,1,0,0,11,3,0,0,0,0,0,1,0,0,0,0,1,0,0,27,0,0,3,1,11,1,310,16,0,2,0,1,142,0,0,0,0,0,0,0,1,0,0,28,2,0
"31","14997","Round Pond",41.97078,-70.010335,88,1410,2136,1755,4,2,0,1,0,0,0,27,11,0,0,0,0,0,0,0,5,6,3,0,0,16,2,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,4,2,8,1,248,14,0,1,0,1,119,0,0,0,0,0,0,0,0,2,0,20,3,0
"32","14997","Round Pond",41.97078,-70.010335,92,1482,2218,1829,5,7,0,1,0,0,0,56,9,0,0,0,0,0,2,0,3,1,11,1,0,20,1,0,1,0,0,1,1,1,0,0,0,0,0,0,35,1,1,0,1,12,4,257,7,1,4,0,8,111,0,0,0,0,0,0,0,0,0,0,19,4,0
"33","14997","Round Pond",41.97078,-70.010335,96,1553,2302,1902,7,3,0,0,0,0,0,52,5,1,0,0,0,0,1,0,2,0,1,1,0,12,1,0,0,0,0,0,2,0,0,0,0,0,0,0,23,2,1,3,3,16,0,265,20,0,2,0,10,112,0,0,0,0,0,0,0,0,0,0,21,3,0
"34","14997","Round Pond",41.97078,-70.010335,100,1622,2390,1975,5,1,0,0,0,2,2,45,7,3,0,0,0,0,1,0,3,1,5,1,0,16,1,0,0,0,0,2,1,0,0,0,0,0,0,0,27,1,2,4,0,5,0,262,16,1,6,0,4,100,0,0,0,0,0,0,0,0,1,0,16,6,0
"35","14997","Round Pond",41.97078,-70.010335,104,1705,2470,2048,5,3,0,0,0,0,1,51,10,0,0,0,0,0,0,0,4,2,0,1,0,11,1,0,0,0,0,0,2,0,1,0,0,0,0,0,41,0,0,3,1,13,3,327,11,0,2,0,6,118,0,0,1,0,0,0,0,0,0,0,19,2,0
"36","14997","Round Pond",41.97078,-70.010335,108,1787,2566,2138,6,2,0,0,0,0,1,37,6,0,0,0,0,0,1,0,2,5,1,3,0,35,4,0,0,0,0,0,2,0,0,0,0,0,0,0,38,0,2,2,3,8,1,288,11,0,0,0,4,129,0,0,0,0,0,0,0,0,0,0,20,2,0
"37","14997","Round Pond",41.97078,-70.010335,112,1866,2678,2238,1,5,0,0,0,0,3,42,2,1,0,0,0,0,0,0,2,2,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,2,3,3,1,1,302,6,0,0,0,2,108,0,0,1,0,0,0,0,0,0,0,24,3,0
"38","14997","Round Pond",41.97078,-70.010335,116,1946,2794,2341,5,6,0,1,0,0,0,45,5,0,0,0,0,0,1,0,3,2,0,0,0,21,2,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,4,3,1,8,1,313,11,1,4,0,6,124,0,0,0,0,0,0,0,0,0,0,26,2,0
"39","14997","Round Pond",41.97078,-70.010335,120,2022,2905,2443,1,2,0,2,0,0,0,53,8,1,0,0,0,0,0,0,7,2,0,1,0,31,2,0,0,0,1,0,1,0,2,1,0,1,0,0,28,1,0,1,1,14,1,312,21,1,4,0,3,133,0,0,0,0,0,0,0,0,0,0,25,5,0
"40","14997","Round Pond",41.97078,-70.010335,128,2208,3099,2649,1,1,0,1,0,0,1,51,8,1,0,0,0,0,0,0,6,2,0,0,0,21,3,0,0,0,0,0,1,0,0,0,0,1,0,1,37,1,0,4,1,8,5,242,10,1,5,0,5,116,0,0,0,0,1,0,0,0,0,0,21,2,0
"41","14997","Round Pond",41.97078,-70.010335,136,2389,3305,2853,4,6,0,0,0,1,2,38,16,0,0,0,0,0,0,0,2,5,0,1,0,14,0,0,0,0,0,0,1,1,1,0,0,0,0,0,50,1,3,4,1,8,4,292,11,0,3,0,2,184,0,0,0,0,0,0,0,0,2,0,23,4,0
"42","14997","Round Pond",41.97078,-70.010335,144,2574,3491,3058,5,2,1,2,0,0,1,40,4,2,0,0,0,0,1,0,0,1,0,1,0,23,3,0,0,0,1,1,0,0,1,0,0,0,0,0,28,0,4,3,2,11,4,297,31,0,3,0,4,119,0,0,0,0,0,0,0,0,0,0,12,0,0
"43","14997","Round Pond",41.97078,-70.010335,152,2722,3705,3228,1,2,1,1,0,2,3,27,15,1,0,0,0,0,1,1,2,3,1,2,0,23,4,0,0,0,0,0,0,0,1,0,0,1,0,0,41,2,3,3,0,14,3,297,8,0,4,1,1,135,0,0,1,0,0,0,0,0,0,0,5,4,0
"44","14997","Round Pond",41.97078,-70.010335,160,2860,3931,3388,1,4,0,1,1,0,4,34,4,0,1,0,0,1,0,1,5,4,0,0,0,14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,21,0,0,9,1,10,10,275,4,0,5,0,1,110,0,0,1,0,0,0,0,0,0,0,5,3,0
