"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Aquifoliaceae undiff.","Artemisia","Asteraceae subf. Cichorioideae","Betula","Brassicaceae","Caprifoliaceae undiff.","Carya","Caryophyllaceae undiff.","Castanea","Ceanothus/Rhamnus","Celtis","Cornus","Corylus","Cupressaceae undiff.","Dalea","Elaeagnaceae undiff.","Ericaceae undiff.","Euphorbiaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Humulus/Cannabis","Impatiens","Juglans","Larix","Liquidambar","Liriodendron","Morus","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Pedicularis","Picea","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Portulacaceae","Quercus","Ranunculus","Rhus","Ribes","Rosaceae undiff.","Rubiaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Saxifraga","Scrophulariaceae","Selaginella","Solanaceae undiff.","Tilia","Tsuga","Ulmus","Urticaceae","Violaceae undiff.","Vitis","Zamia","Zea"
"1","2621","Swartswood Lake",41.072335,-74.83698,5,-33,92,1,0,9,10,0,31,0,0,2,0,31,0,0,16,0,6,0,0,1,0,0,0,0,0,0,0,13,6,0,0,1,0,0,0,0,1,0,0,3,1,6,38,0,1,13,2,0,148,0,0,0,0,0,12,3,0,0,0,0,0,0,22,5,0,0,0,1,0
"2","2621","Swartswood Lake",41.072335,-74.83698,11,-13,168,41,0,2,7,1,45,0,1,0,2,27,0,1,12,0,9,0,0,0,3,4,0,0,1,0,0,0,3,1,0,5,1,1,0,0,0,1,0,0,0,4,32,2,0,28,0,0,92,0,0,0,0,0,10,2,1,0,0,0,1,1,18,4,0,0,0,0,0
"3","2621","Swartswood Lake",41.072335,-74.83698,17,8,236,80,0,5,9,0,48,0,1,0,2,22,3,1,8,0,22,0,0,1,1,0,0,0,0,0,0,3,9,0,0,6,0,0,0,0,0,3,1,4,0,2,29,1,0,19,0,0,71,0,0,0,1,0,28,0,0,0,0,0,0,0,22,4,0,0,0,0,0
"4","2621","Swartswood Lake",41.072335,-74.83698,23,31,303,119,0,5,10,1,91,0,0,1,1,30,1,0,9,0,20,0,0,0,1,3,0,0,0,0,0,5,7,0,0,4,1,0,0,0,0,0,0,2,0,6,37,1,0,21,0,0,90,0,0,0,0,0,22,1,0,0,0,0,0,0,16,7,0,0,0,0,0
"5","2621","Swartswood Lake",41.072335,-74.83698,29,55,369,158,0,4,7,0,59,1,0,0,4,32,0,0,10,0,33,0,0,0,1,4,0,0,0,0,0,5,2,0,0,10,0,0,3,0,1,0,0,1,0,1,31,4,1,33,0,0,75,0,0,1,0,0,19,1,0,1,0,0,0,0,19,3,1,1,0,0,0
"6","2621","Swartswood Lake",41.072335,-74.83698,35,79,435,197,0,3,12,1,60,0,0,0,4,26,1,0,5,0,11,0,0,0,2,0,0,0,0,0,0,1,10,0,0,9,0,0,0,0,0,1,0,0,0,1,30,3,0,22,1,0,89,0,0,0,0,0,12,1,1,0,0,0,0,0,7,4,0,1,0,0,0
"7","2621","Swartswood Lake",41.072335,-74.83698,41,107,497,235,0,6,11,4,51,0,0,0,4,34,0,0,15,0,8,0,0,2,0,1,0,0,0,0,0,4,8,0,0,3,0,3,0,0,0,0,0,3,0,2,28,8,1,21,0,0,70,1,0,1,0,0,14,1,2,0,0,0,0,0,5,10,1,0,0,0,0
"8","2621","Swartswood Lake",41.072335,-74.83698,46,130,550,267,0,6,17,0,128,0,2,2,4,42,0,1,12,0,46,0,0,0,3,9,0,0,0,0,0,13,4,1,0,8,0,0,0,2,0,0,5,3,0,2,50,2,3,55,0,0,161,0,2,0,0,2,32,10,3,0,0,1,0,1,23,13,1,2,1,0,0
"9","2621","Swartswood Lake",41.072335,-74.83698,53,162,624,311,0,5,4,2,39,0,0,0,2,58,1,1,11,0,7,0,0,0,0,2,2,0,0,0,1,6,13,0,1,11,0,1,0,0,2,0,0,4,0,3,25,5,1,20,0,0,98,0,2,0,1,0,9,2,1,0,0,0,0,0,13,7,0,0,0,0,0
"10","2621","Swartswood Lake",41.072335,-74.83698,59,190,685,350,0,1,7,0,51,0,2,0,1,27,1,2,7,0,19,0,0,0,1,2,0,0,0,0,2,12,5,0,0,5,0,0,0,0,0,1,3,0,0,0,35,0,1,21,0,0,109,0,0,0,0,0,16,2,0,0,0,0,0,0,22,0,0,0,0,0,0
"11","2621","Swartswood Lake",41.072335,-74.83698,65,218,749,387,0,7,12,0,26,0,0,1,2,31,0,0,9,0,12,3,0,0,2,3,0,0,1,0,2,10,3,0,0,3,0,1,0,0,1,0,2,1,0,0,24,2,4,12,0,0,142,0,0,0,0,0,9,1,0,0,0,0,0,1,14,3,0,0,0,0,0
"12","2621","Swartswood Lake",41.072335,-74.83698,67,231,768,402,0,8,10,0,20,0,0,0,1,32,2,0,10,0,10,0,2,0,2,3,0,0,0,1,0,10,2,0,0,1,0,1,0,0,4,4,0,1,0,4,27,0,0,10,1,0,130,0,0,0,0,0,6,3,0,0,0,0,1,1,22,2,0,0,1,0,0
"13","2621","Swartswood Lake",41.072335,-74.83698,69,241,790,417,0,3,20,1,1,0,0,0,1,56,0,2,25,0,14,1,1,1,3,2,0,0,0,0,0,15,14,0,0,3,0,2,0,0,0,2,4,3,0,1,66,0,3,6,0,0,215,3,0,0,0,0,3,1,0,0,0,0,0,0,18,4,0,0,0,0,0
"14","2621","Swartswood Lake",41.072335,-74.83698,72,264,821,445,0,7,19,0,0,0,0,2,0,29,0,0,18,0,14,0,1,0,1,0,0,0,0,0,0,9,4,0,0,2,0,0,0,0,0,1,0,3,0,0,32,0,1,1,0,0,170,0,0,0,0,0,0,1,0,0,0,0,0,0,23,4,0,0,0,0,1
"15","2621","Swartswood Lake",41.072335,-74.83698,75,282,857,478,0,13,8,1,1,0,0,1,0,33,0,0,6,1,15,1,1,0,1,1,0,0,0,0,0,7,6,0,0,1,0,1,0,0,0,2,2,5,0,1,33,0,1,1,0,1,160,2,0,0,0,0,0,1,0,0,1,0,0,0,28,4,0,0,0,0,0
"16","2621","Swartswood Lake",41.072335,-74.83698,83,348,946,570,0,6,10,0,0,0,1,0,1,36,0,0,13,0,16,0,1,0,1,0,0,3,0,0,0,8,7,0,0,1,1,3,0,0,0,6,2,1,0,1,28,0,0,0,0,0,161,0,0,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,0
"17","2621","Swartswood Lake",41.072335,-74.83698,91,416,1043,664,1,9,15,0,3,0,1,0,1,37,1,0,16,0,16,0,0,0,3,0,0,0,0,0,0,12,8,0,0,0,2,0,0,0,0,2,4,0,0,2,30,0,0,3,0,0,173,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2,0,0,0,0,0
"18","2621","Swartswood Lake",41.072335,-74.83698,99,481,1133,751,0,5,6,0,1,0,1,0,0,41,2,0,15,0,17,2,1,0,1,0,0,0,0,0,0,14,3,0,0,1,0,0,0,0,0,4,2,0,0,0,16,0,0,2,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0
